longitude,latitude,number_of_vehicles,number_of_casualties,day_of_week,road_type,speed_limit,junction_detail,junction_control,light_conditions,weather_conditions,road_surface_conditions,urban_or_rural_area,month,time_period,casualties_per_vehicle,has_second_road,second_road_unknown,first_road_class_ordinal,second_road_class_ordinal
-1.32231,51.26334,1,1,1,6,60,0.0,,1.0,1,1.0,2,7,Morning,1.0,0,0,1,0
-4.51561,55.61075,1,1,5,6,30,0.0,,1.0,2,2.0,1,6,Afternoon,1.0,1,0,3,3
-1.78674,52.47272,2,1,4,6,30,0.0,,1.0,1,1.0,1,10,Afternoon,0.5,0,1,1,0
-1.80941,51.13959,2,1,5,6,30,0.0,,6.0,1,1.0,2,7,Evening,0.5,0,0,1,0
1.34095,52.64773,2,1,2,6,20,13.0,4.0,1.0,1,1.0,1,4,Afternoon,0.5,1,0,1,1
-0.22784,53.74843,3,3,7,6,40,0.0,,1.0,1,1.0,2,8,Morning,1.0,1,0,1,1
-0.36635,51.64487,2,1,6,6,30,13.0,4.0,1.0,1,1.0,1,2,Evening,0.5,1,0,4,1
-0.76265,51.63892,2,1,4,6,30,0.0,,1.0,1,1.0,1,9,Afternoon,0.5,0,0,1,0
-1.40652,53.22014,1,1,5,6,30,13.0,2.0,1.0,1,1.0,1,7,Morning,1.0,1,0,3,1
-0.23912,51.49984,2,1,1,1,20,0.0,4.0,4.0,2,2.0,1,11,Afternoon,0.5,1,0,4,3
-1.54524,53.95753,2,1,3,6,30,13.0,4.0,4.0,9,1.0,2,11,Morning,0.5,1,0,1,1
-1.92916,52.49815,2,1,3,1,30,,4.0,4.0,1,2.0,1,12,Afternoon,0.5,1,0,1,1
-2.09762,51.45098,2,1,2,6,30,0.0,,1.0,1,1.0,1,9,Morning,0.5,0,0,1,0
-0.12942,51.43122,1,1,3,6,20,0.0,,1.0,1,1.0,1,5,Morning,1.0,0,0,4,0
-4.05627,50.38524,2,2,4,6,30,0.0,,4.0,1,2.0,1,1,Evening,1.0,1,0,1,1
0.2497,51.55739,1,1,7,6,30,16.0,4.0,1.0,1,1.0,1,6,Morning,1.0,1,0,2,1
-0.89072,52.2415,2,1,3,6,30,13.0,4.0,1.0,1,1.0,1,4,Afternoon,0.5,1,0,2,1
-0.05356,51.44022,2,1,5,6,20,13.0,4.0,1.0,1,1.0,1,7,Evening,0.5,1,0,4,4
-0.4387,51.75971,1,1,4,6,30,13.0,4.0,1.0,1,1.0,1,7,Afternoon,1.0,1,0,4,4
-0.0422,51.51316,2,1,3,6,20,,4.0,1.0,1,1.0,1,6,Evening,0.5,1,0,4,1
-1.55252,52.43478,2,1,7,1,40,,4.0,1.0,1,1.0,2,2,Afternoon,0.5,1,0,3,1
-2.71517,53.5187,2,1,1,6,30,0.0,,1.0,1,1.0,1,2,Morning,0.5,1,0,1,1
0.07999,51.55175,2,1,4,6,30,16.0,4.0,1.0,9,9.0,1,3,Afternoon,0.5,1,0,1,1
-1.5649,52.2563,2,1,6,1,50,,4.0,1.0,1,1.0,2,4,Morning,0.5,1,0,4,4
-0.61098,50.79321,1,1,4,6,30,19.0,4.0,1.0,1,1.0,1,12,Afternoon,1.0,1,0,1,1
1.1105,51.36606,2,1,5,1,20,,4.0,1.0,1,1.0,1,1,Afternoon,0.5,1,0,1,3
0.18987,51.52905,2,1,6,2,30,16.0,2.0,1.0,1,1.0,1,10,Morning,0.5,1,0,2,4
-0.20268,51.4801,1,1,5,6,20,13.0,4.0,4.0,1,1.0,1,6,Evening,1.0,1,0,4,4
-0.5104,51.88961,2,1,4,6,30,0.0,,1.0,1,1.0,1,10,Morning,0.5,1,0,4,1
-0.28804,51.53548,2,1,2,3,30,0.0,2.0,1.0,1,1.0,1,5,Morning,0.5,1,0,4,1
-2.50842,53.63826,1,1,4,6,60,19.0,4.0,6.0,1,4.0,2,11,Evening,1.0,1,0,1,1
-1.39846,53.76613,2,5,3,6,60,0.0,,1.0,2,2.0,2,1,Afternoon,2.5,0,1,1,0
-1.24902,53.28132,2,2,3,6,60,0.0,,1.0,2,2.0,2,3,Afternoon,1.0,0,0,1,0
-2.12031,52.51186,2,1,4,1,30,0.0,,4.0,1,1.0,2,3,Evening,0.5,0,1,3,0
0.43323,52.77968,2,1,6,2,30,13.0,4.0,1.0,1,1.0,2,7,Morning,0.5,1,0,1,1
0.05317,51.36613,3,2,5,6,30,19.0,2.0,1.0,9,1.0,1,10,Morning,0.6666666666666666,1,0,4,4
-0.19426,51.5386,1,1,3,6,20,13.0,2.0,4.0,3,2.0,1,3,Evening,1.0,1,0,4,1
-2.32927,51.7662,3,1,1,6,50,19.0,4.0,6.0,1,1.0,2,12,Evening,0.3333333333333333,1,0,4,1
0.27904,51.43414,3,1,5,1,30,,2.0,6.0,2,2.0,2,3,Evening,0.3333333333333333,1,0,4,4
-0.034,50.79894,2,1,3,6,30,0.0,,1.0,9,1.0,1,3,Afternoon,0.5,0,1,4,0
-1.75788,51.55073,3,2,3,3,40,13.0,4.0,1.0,1,2.0,1,9,Morning,0.6666666666666666,1,0,4,1
-4.20133,51.01347,1,1,5,6,30,18.0,4.0,1.0,1,1.0,1,3,Afternoon,1.0,1,0,1,1
-0.11062,51.55135,2,1,3,6,20,19.0,2.0,4.0,1,1.0,1,6,Evening,0.5,1,0,4,1
0.34079,51.48286,1,1,2,6,30,13.0,4.0,1.0,1,1.0,1,9,Afternoon,1.0,1,0,1,1
-2.79425,54.05448,1,1,4,6,30,0.0,,1.0,9,1.0,1,5,Afternoon,1.0,1,0,4,4
0.71352,52.03112,2,2,6,6,60,0.0,,1.0,1,1.0,2,6,Morning,1.0,0,1,4,0
1.54197,52.20935,3,3,2,6,60,0.0,,1.0,1,1.0,2,9,Afternoon,1.0,0,1,3,0
-0.0137,51.57576,2,1,5,9,30,13.0,4.0,7.0,9,9.0,1,5,Afternoon,0.5,1,0,4,1
-2.19751,53.50014,1,2,4,3,30,13.0,2.0,1.0,1,1.0,1,8,Morning,2.0,1,0,4,1
-1.5987,53.30704,2,2,3,6,60,13.0,4.0,6.0,1,2.0,2,1,Evening,1.0,1,0,4,3
-4.5236,55.83198,2,1,1,6,30,0.0,,4.0,1,1.0,1,12,Evening,0.5,1,0,3,1
1.2127,51.26177,1,1,4,6,60,0.0,,6.0,1,2.0,2,4,Evening,1.0,1,0,3,1
-2.65529,53.4154,2,2,4,6,30,0.0,,4.0,1,2.0,2,12,Night,1.0,0,1,1,0
